status,non_func,repair,func,latitude,longitude,index
0.0,1.0,0.0,0.0,-3.59635951,31.98565804,2980
2.0,0.473333333333,0.00666666666667,0.52,-4.94493737,32.8328152,5246
2.0,0.293333333333,0.0633333333333,0.643333333333,-4.24204756,35.48828939,22659
0.0,0.31,0.00666666666667,0.683333333333,-9.0593862,33.14082786,39888
2.0,0.00666666666667,0.00333333333333,0.99,-4.4305289,34.21707668,13361
0.0,0.816666666667,0.00666666666667,0.176666666667,-8.31488662,38.98794361,5517
0.0,0.503333333333,0.0,0.496666666667,-1.60679785,31.41823984,49246
0.0,0.993333333333,0.0,0.00666666666667,-7.71137073,35.46584481,23338
2.0,0.64,0.13,0.23,-1.68065404,30.98302258,54
2.0,0.262594492233,0.312653343485,0.424752164282,-2e-08,0.0,22989
0.0,0.94,0.0566666666667,0.00333333333333,-4.91391433,36.11237521,59027
0.0,0.996666666667,0.00333333333333,0.0,-1.37629606,33.92942551,8500
0.0,0.89,0.00333333333333,0.106666666667,-10.54960592,34.91690142,1557
0.0,0.0866666666667,0.193333333333,0.72,-1.29305462,30.64564149,5692
2.0,0.01,0.00666666666667,0.983333333333,-8.07883205,31.66039158,6921
2.0,0.0366666666667,0.00333333333333,0.96,-9.76246033,34.52636782,21489
2.0,0.00333333333333,0.0,0.996666666667,-2.43633052,31.73253354,5115
2.0,0.0233333333333,0.0,0.976666666667,-9.3334347,34.56130025,11453
0.0,0.976666666667,0.00333333333333,0.02,-5.73973595,30.56622028,43061
0.0,0.996666666667,0.0,0.00333333333333,-4.92443756,29.69813464,28565
1.0,0.01,0.526666666667,0.463333333333,-4.72978414,29.65744152,26577
2.0,0.0566666666667,0.00666666666667,0.936666666667,-9.72426857,38.04137829,18376
0.0,0.996666666667,0.0,0.00333333333333,-4.37983431,32.38515789,12957
0.0,0.74,0.26,0.0,-3.25935511,37.46903516,20273
2.0,0.0233333333333,0.00333333333333,0.973333333333,-5.25856923,38.81675495,16114
0.0,0.293333333333,0.0,0.706666666667,-9.28679895,33.9062641,19107
2.0,0.596666666667,0.146666666667,0.256666666667,-4.13498594,37.90213015,2463
2.0,0.0733333333333,0.0,0.926666666667,-4.01676839,32.54442307,24330
2.0,0.0466666666667,0.183333333333,0.77,-4.71388343,30.04622289,56217
2.0,0.133333333333,0.486666666667,0.38,-3.17616124,33.88176741,31872
0.0,1.0,0.0,0.0,-6.01164185,36.85394732,6702
0.0,1.0,0.0,0.0,-2.00463945,33.87231973,19002
0.0,0.366666666667,0.0,0.633333333333,-4.4293794,38.30024113,50397
2.0,0.00333333333333,0.353333333333,0.643333333333,-7.46292505,37.61368202,55181
2.0,0.06,0.01,0.93,-3.18944133,30.86317257,52854
2.0,0.103333333333,0.00777777777778,0.888888888889,-2e-08,0.0,41517
2.0,0.0,0.0,1.0,-3.23346625,37.16843173,27576
0.0,0.88,0.0,0.12,-4.64165571,38.07415506,34363
0.0,0.03,0.01,0.96,-2.68820023,32.90458858,29838
0.0,0.996666666667,0.00333333333333,0.0,-3.49087035,32.70010307,21449
0.0,0.66,0.0,0.34,-8.87799722,33.05536253,34417
2.0,0.09,0.00333333333333,0.906666666667,-3.28750349,36.56611187,30189
2.0,0.0666666666667,0.03,0.903333333333,-9.36528368,33.67105491,35726
2.0,0.44,0.0466666666667,0.513333333333,-10.26619049,38.93077429,20984
2.0,0.153333333333,0.0,0.846666666667,-3.96847896,33.17210071,7845
0.0,0.23,0.0,0.77,-7.5285916,39.24488701,9284
2.0,0.47,0.00333333333333,0.526666666667,-8.743335,33.7046905,33515
2.0,0.0133333333333,0.0,0.986666666667,-4.86086961,38.80187406,26650
0.0,0.87,0.0733333333333,0.0566666666667,-5.03495353,34.88698256,25478
2.0,0.00333333333333,0.0,0.996666666667,-9.64022994,34.65088346,7217
0.0,0.92,0.0,0.08,-9.8067261,34.69591882,15680
2.0,0.58,0.0233333333333,0.396666666667,-3.41968746,30.7286321,27221
0.0,0.996666666667,0.0,0.00333333333333,-5.95996625,36.88935908,59105
2.0,0.01,0.0366666666667,0.953333333333,-3.34279173,32.81093801,46595
0.0,0.29,0.0,0.71,-9.28940386,33.88873342,29278
2.0,0.693333333333,0.0,0.306666666667,-8.90713302,32.95534304,15517
2.0,0.123333333333,0.0,0.876666666667,-5.00425726,38.42997295,45030
0.0,0.946666666667,0.0,0.0533333333333,-2.12743151,33.61129143,37258
2.0,0.556666666667,0.103333333333,0.34,-4.27721097,33.87791311,45333
0.0,0.413333333333,0.0,0.586666666667,-9.24457703,33.01860973,5118
2.0,0.00333333333333,0.0366666666667,0.96,-3.31205828,37.41879154,21417
2.0,0.186666666667,0.0266666666667,0.786666666667,-6.80534287,33.27034191,3638
0.0,0.306666666667,0.273333333333,0.42,-10.92574058,39.35149214,25079
0.0,0.963333333333,0.01,0.0266666666667,-7.5071746,31.04470142,25527
2.0,0.0,0.223333333333,0.776666666667,-9.0497468,34.62277869,27166
0.0,0.0166666666667,0.0,0.983333333333,-2.89951422,32.70472236,5325
1.0,0.243333333333,0.753333333333,0.00333333333333,-4.65127795,34.98625648,26800
2.0,0.00666666666667,0.0666666666667,0.926666666667,-4.54650027,29.91382876,20296
0.0,0.746666666667,0.0433333333333,0.21,-4.46192547,35.5126013,29951
2.0,0.236666666667,0.39,0.373333333333,-3.71466822,35.72632166,9634
2.0,0.11,0.423333333333,0.466666666667,-5.53887423,36.44310557,24595
0.0,0.413333333333,0.00666666666667,0.58,-8.36234844,31.08183593,15019
2.0,0.0,0.0,1.0,-9.1306743,33.80508085,109
2.0,0.39,0.0,0.61,-6.89357116,39.19546608,8972
2.0,0.0,0.0,1.0,-9.25627099,34.67380958,4364
1.0,0.67,0.0233333333333,0.306666666667,-10.56581443,38.02771513,49352
1.0,0.53,0.0633333333333,0.406666666667,-4.43958888,37.9742907,30574
2.0,0.04,0.0,0.96,-8.10602933,36.66255605,30157
2.0,0.0133333333333,0.00333333333333,0.983333333333,-6.86327022,37.64885495,7144
0.0,1.0,0.0,0.0,-5.94830289,35.92696015,40165
2.0,0.0,0.0833333333333,0.916666666667,-7.46636483,35.80073636,4464
2.0,0.13,0.0,0.87,-8.5817166,35.14286932,30821
0.0,0.51,0.236666666667,0.253333333333,-3.71251699,37.65003964,35145
0.0,0.99,0.0,0.01,-8.10026246,35.77140892,54292
1.0,0.266666666667,0.146666666667,0.586666666667,-8.87150578,39.48756063,48775
0.0,0.95,0.0133333333333,0.0366666666667,-5.02073419,31.04989597,23406
2.0,0.0282909228523,0.400873127354,0.570835949793,-2e-08,0.0,59374
0.0,0.893333333333,0.0333333333333,0.0733333333333,-3.34412819,33.6872643,44612
0.0,0.0433333333333,0.0,0.956666666667,-2.70586375,31.4083178,6166
0.0,0.291666666667,0.06,0.648333333333,-2.52105406,32.81240026,4046
2.0,0.396666666667,0.0233333333333,0.58,-6.76443862,38.12984856,51066
0.0,0.0466666666667,0.403333333333,0.55,-4.58951249,30.10581486,29568
2.0,0.286666666667,0.00333333333333,0.71,-3.34145575,31.53013105,28596
2.0,0.572222222222,0.0777777777778,0.35,-1.82348248,33.05521035,30381
2.0,0.04,0.0,0.96,-8.87980723,34.71421242,2152
0.0,0.996666666667,0.0,0.00333333333333,-7.46205929,35.47365202,13298
2.0,0.246666666667,0.00666666666667,0.746666666667,-1.86149041,33.6560082,27143
1.0,0.02,0.0766666666667,0.903333333333,-9.22970634,33.57871781,13441
0.0,0.223333333333,0.07,0.706666666667,-3.32656099,36.80931213,11496
0.0,1.0,0.0,0.0,-2.16142475,33.60735588,27637
0.0,0.733333333333,0.0,0.266666666667,-8.80372657,32.65692782,36143
2.0,0.0,0.01,0.99,-9.09288278,34.51851221,25288
2.0,0.37,0.126666666667,0.503333333333,-7.96260378,39.66552715,56585
2.0,0.0,0.0,1.0,-3.72194458,33.27583594,33738
2.0,0.19,0.0,0.81,-3.22480741,37.19767473,7876
2.0,0.43,0.0,0.57,-10.06935878,35.89641606,33693
0.0,0.153333333333,0.0,0.846666666667,-3.21281585,37.58219297,30501
0.0,0.943333333333,0.00666666666667,0.05,-3.60903253,33.84640885,49543
2.0,0.07,0.253333333333,0.676666666667,-4.29055429,37.87567933,54544
0.0,0.996666666667,0.0,0.00333333333333,-9.48244916,33.98402343,1856
2.0,0.18,0.0133333333333,0.806666666667,-3.30593329,36.69457478,32714
0.0,0.466666666667,0.0633333333333,0.47,-8.50682403,39.2526328,53093
1.0,0.413333333333,0.0,0.586666666667,-6.7535021,36.09209825,59259
1.0,0.15,0.453333333333,0.396666666667,-4.15288295,37.91521252,57378
1.0,0.883333333333,0.0333333333333,0.0833333333333,-7.6978662,36.95557742,54162
2.0,0.00333333333333,0.03,0.966666666667,-1.48967603,31.59325476,14832
2.0,0.0866666666667,0.396666666667,0.516666666667,-4.88091032,29.81832523,27698
0.0,0.98,0.0,0.02,-9.0881705,34.98635681,564
2.0,0.0,0.01,0.99,-9.09856251,34.52128813,16125
2.0,0.0366666666667,0.0,0.963333333333,-9.25795118,34.54562525,52739
0.0,0.63,0.01,0.36,-7.90394264,35.75377745,31091
0.0,0.94,0.0,0.06,-7.53857862,39.13037539,27294
2.0,0.176666666667,0.126666666667,0.696666666667,-6.7198396,32.05435429,906
2.0,0.0,0.0,1.0,-2.90467474,30.8246172,45431
1.0,0.0333333333333,0.1,0.866666666667,-9.10402975,34.667197,35177
2.0,0.0733333333333,0.05,0.876666666667,-6.86556955,37.06072223,38535
0.0,0.94,0.03,0.03,-4.3352416,35.8338139,38113
2.0,0.0866666666667,0.0233333333333,0.89,-4.85368835,39.1240327,37227
2.0,0.04,0.38,0.58,-6.68544809,37.13216729,1879
0.0,0.29,0.66,0.05,-9.3806473,33.90698103,42922
1.0,0.203333333333,0.496666666667,0.3,-10.47880864,35.8991933,50674
0.0,1.0,0.0,0.0,-9.5951885,33.88193077,27267
0.0,0.323333333333,0.433333333333,0.243333333333,-2.96157828,30.90140127,45965
0.0,1.0,0.0,0.0,-10.77508095,39.8123921,17876
0.0,0.99,0.0,0.01,-10.61992876,38.12454818,10459
